Algorithm,TimeElapsedMs,NodesVisited,PathLength,GridSize,WallDensity,NumDeadEnds,BranchingFactor
DFS Algorithm,4618,297,149,30x30,0.4989,25,0.6662,2929,0,0,30x30,0.7811,194,0.1768,3093,0,0,30x30,0.5311,68,0.5930,2928,0,0,30x30,0.7822,194,0.1770DFS Algorithm,2899,0,0,30x30,0.7889,188,0.1725DFS Algorithm,2913,0,0,30x30,0.7822,194,0.1770Maze Generation,4000,0,0,30x30,0.5011,24,0.6642Dijkstra's Algorithm,3086,0,0,30x30,0.5322,62,0.5920Dijkstra's Algorithm,3114,0,0,30x30,0.5322,64,0.5920Dijkstra's Algorithm,3087,0,0,30x30,0.5322,68,0.5920Dijkstra's Algorithm,2932,0,0,30x30,0.7822,194,0.1770Dijkstra's Algorithm,2927,0,0,30x30,0.7822,194,0.1770Maze Generation,3990,0,0,30x30,0.5000,24,0.6652A* Algorithm,6681,429,168,30x30,0.5000,24,0.6652A* Algorithm,3053,0,0,30x30,0.3633,33,0.9762A* Algorithm,2934,0,0,30x30,0.3622,31,0.9796A* Algorithm,3081,0,0,30x30,0.1556,23,1.4639,2936,0,0,30x30,0.7811,194,0.1768DFS Algorithm,2930,0,0,30x30,0.7811,194,0.1768,2940,0,0,30x30,0.7811,194,0.1768Dijkstra's Algorithm,3087,0,0,30x30,0.5311,61,0.5930Dijkstra's Algorithm,4003,0,0,30x30,0.4989,27,0.6662,2932,0,0,30x30,0.7811,194,0.1768,5524,0,0,30x30,0.7322,33,0.4172Dijkstra's Algorithm,3095,0,0,30x30,0.5333,67,0.5909,3076,0,0,30x30,0.5311,60,0.5930,2937,0,0,30x30,0.7811,194,0.1768,1252,0,0,30x30,0.8900,0,0.0000,1356,0,0,31x31,0.8824,0,0.0000,1355,0,0,31x31,0.8824,0,0.0000,1364,0,0,31x31,0.8824,0,0.0000,3526,0,0,31x31,0.5307,68,1.9867Dijkstra's Algorithm,3521,0,0,31x31,0.5328,76,1.9955Dijkstra's Algorithm,4234,0,0,31x31,0.4995,24,2.0000,3990,0,0,30x30,0.4989,25,0.6662DFS Algorithm,1249,0,0,30x30,0.8900,0,0.0000,3518,0,0,31x31,0.5307,68,1.9867,1357,0,0,31x31,0.8824,0,0.0000,1520,0,0,30x30,0.7000,178,0.3043,9750,0,0,30x30,0.2811,2,1.0886Dijkstra's Algorithm,3074,0,0,30x30,0.5311,70,0.5930,34455,0,0,30x30,0.0633,2,1.8657,3119,0,0,30x30,0.5311,69,0.5930,3480,0,0,30x30,0.5011,75,0.6642Dijkstra's Algorithm,3479,0,0,30x30,0.5011,80,0.6642,3481,0,0,30x30,0.5011,86,0.6642Dijkstra's Algorithm,6568,421,78,30x30,0.5011,86,0.6642,3477,0,0,30x30,0.5011,76,1.9955BFS Algorithm,5936,381,82,30x30,0.5011,76,1.9955,36194,0,0,30x30,0.0633,2,3.8577,4000,0,0,30x30,0.4989,70,0.6662Dijkstra's Algorithm,5455,350,62,30x30,0.4989,70,0.6662,3999,0,0,30x30,0.4989,82,1.9956A* Algorithm,2698,173,66,30x30,0.4989,82,1.9956,3488,0,0,30x30,0.5011,75,1.9955DFS Algorithm,4378,281,78,30x30,0.5011,75,1.9955,3487,0,0,30x30,0.5011,73,1.9955Dijkstra's Algorithm,7007,449,114,30x30,0.5011,73,1.9955,3471,0,0,30x30,0.5011,71,1.9955Dijkstra's Algorithm,6944,445,106,30x30,0.5011,71,1.9955,3473,0,0,30x30,0.5011,78,1.9955,3996,0,0,30x30,0.4989,70,0.6662Dijkstra's Algorithm,5462,350,62,30x30,0.4989,70,0.6662Dijkstra's Algorithm,4007,0,0,30x30,0.4989,70,0.6662,3997,0,0,30x30,0.4989,82,1.9956,3998,0,0,30x30,0.4989,70,1.9956DFS Algorithm,2127,137,62,30x30,0.4989,70,1.9956,3478,0,0,30x30,0.5011,81,0.6642Dijkstra's Algorithm,4086,261,78,30x30,0.5011,81,0.6642BFS Algorithm,14052,900,58,30x30,0.0000,0,3.8667,7312,465,464,30x30,0.0000,0,3.8667DFS Algorithm,7245,465,464,30x30,0.0000,0,3.8667,3492,0,0,30x30,0.5011,71,1.9955Dijkstra's Algorithm,6414,411,86,30x30,0.5011,71,1.9955,3490,0,0,30x30,0.5011,75,1.9955Dijkstra's Algorithm,5822,373,70,30x30,0.5011,75,1.9955A* Algorithm,3477,0,0,30x30,0.5011,79,1.9955A* Algorithm,3526,226,74,30x30,0.5011,79,1.9955,3995,0,0,30x30,0.4989,70,1.9956Dijkstra's Algorithm,5469,350,62,30x30,0.4989,70,1.9956DFS Algorithm,7253,465,464,30x30,0.0000,0,3.8667,3992,0,0,30x30,0.4989,25,0.6662,4001,0,0,30x30,0.4989,78,1.9956,3484,0,0,30x30,0.5011,73,1.9955DFS Algorithm,2033,131,78,30x30,0.5011,73,1.9955,4002,0,0,30x30,0.4989,25,1.9956,4000,0,0,30x30,0.4989,70,1.9956,4013,0,0,30x30,0.4989,70,1.9956,3490,0,0,30x30,0.5011,72,0.6642,3498,0,0,30x30,0.4989,74,0.6662Dijkstra's Algorithm,6625,424,70,30x30,0.4989,74,0.6662,4011,0,0,30x30,0.4989,70,0.6662,3990,0,0,30x30,0.4989,70,0.6662,24995,0,0,30x30,0.4989,82,1.9956,25000,0,0,30x30,0.4989,70,1.9956Dijkstra's Algorithm,5459,350,62,30x30,0.4989,70,1.9956NOALGO,3993,0,0,30x30,0.4989,70,0.6662NOALGO,3508,0,0,30x30,0.4989,60,0.6662NOALGO,3495,0,0,30x30,0.4989,65,0.6662DFS,2005,129,90,30x30,0.4989,65,0.6662NOALGO,3499,0,0,30x30,0.4989,68,0.6662DIJKSTRA,5141,329,62,30x30,0.4989,68,0.6662NOALGO,3491,0,0,30x30,0.4989,74,1.9956BFS,6898,443,66,30x30,0.4989,74,1.9956NOALGO,3494,0,0,30x30,0.4989,70,1.9956DFS,2583,167,82,30x30,0.4989,70,1.9956NOALGO,3495,0,0,30x30,0.4989,62,0.6662DIJKSTRA,6719,430,70,30x30,0.4989,62,0.6662NOALGO,5040,0,0,35x35,0.4718,104,1.9969DIJKSTRA,9598,614,112,35x35,0.4718,104,1.9969NOALGO,3077,0,0,35x22,0.4857,62,1.9949DIJKSTRA,5016,320,67,35x22,0.4857,62,1.9949NOALGO,5056,0,0,35x35,0.4718,93,1.9969NOALGO,5267,0,0,35x35,0.4996,34,1.9967DFS,4375,281,252,35x35,0.4996,34,1.9967NOALGO,5522,0,0,35x35,0.4735,122,1.9907DFS,2960,191,76,35x35,0.4735,122,1.9907NOALGO,5046,0,0,35x35,0.4718,95,1.9969DFS,5736,369,62,35x35,0.4718,95,1.9969NOALGO,5050,0,0,35x35,0.4718,104,1.9969DIJKSTRA,9095,582,85,35x35,0.4718,104,1.9969NOALGO,3508,0,0,30x30,0.4989,70,0.6662NOALGO,3999,0,0,30x30,0.4989,25,1.9956NOALGO,3492,0,0,30x30,0.4989,65,1.9956DIJKSTRA,5086,326,110,30x30,0.4989,65,1.9956NOALGO,4006,0,0,30x30,0.4989,70,1.9956DIJKSTRA,5470,350,62,30x30,0.4989,70,1.9956NOALGO,3513,0,0,30x30,0.4989,68,1.9956DIJKSTRA,5302,340,102,30x30,0.4989,68,1.9956NOALGO,3999,0,0,30x30,0.4989,25,1.9956DFS,5498,353,166,30x30,0.4989,25,1.9956NOALGO,3993,0,0,30x30,0.4989,70,1.9956DIJKSTRA,5469,350,62,30x30,0.4989,70,1.9956DIJKSTRA,7495,0,0,30x30,0.4989,82,1.9956DIJKSTRA,10058,322,66,30x30,0.4989,82,1.9956NOALGO,7002,0,0,30x30,0.4989,68,1.9956DIJKSTRA,9403,301,62,30x30,0.4989,68,1.9956NOALGO,6996,0,0,30x30,0.4989,70,1.9956ASTAR,5364,172,66,30x30,0.4989,70,1.9956DIJKSTRA,304,10,0,30x30,0.0244,2,3.8109DIJKSTRA,27534,881,58,30x30,0.0211,1,3.8161NOALGO,6999,0,0,30x30,0.4989,70,1.9956DFS,6058,195,94,30x30,0.4989,70,1.9956NOALGO,7503,0,0,30x30,0.4989,70,1.9956DIJKSTRA,10931,350,62,30x30,0.4989,70,1.9956NOALGO,7502,0,0,30x30,0.4989,25,1.9956BFS,13376,429,166,30x30,0.4989,25,1.9956NOALGO,6998,0,0,30x30,0.4989,71,1.9956DIJKSTRA,13623,436,70,30x30,0.4989,71,1.9956UNKNOWN_ALGO,13827,437,70,30x30,0.0000,0,3.8667NOALGO,6991,0,0,30x30,0.4989,64,1.9956BFS,10495,337,98,30x30,0.4989,64,1.9956NOALGO,7499,0,0,30x30,0.4989,70,1.9956DFS,4242,137,62,30x30,0.4989,70,1.9956NOALGO,6998,0,0,30x30,0.4989,66,1.9956ASTAR,10595,339,94,30x30,0.4989,66,1.9956NOALGO,6999,0,0,30x30,0.4989,74,1.9956ASTAR,5645,181,74,30x30,0.4989,74,1.9956NOALGO,4007,0,0,30x30,0.4989,70,0.6662NOALGO,4014,0,0,30x30,0.4989,70,0.6662DIJKSTRA,5469,350,62,30x30,0.4989,70,0.6662NOALGO,3496,0,0,30x30,0.4989,77,1.9956DIJKSTRA,6141,393,70,30x30,0.4989,77,1.9956,3999,0,0,30x30,0.4989,70,0.6662,3505,0,0,30x30,0.4989,71,1.9956Dijkstra's Algorithm,6111,391,66,30x30,0.4989,71,1.9956,3501,0,0,30x30,0.4989,67,0.6662DFS Algorithm,6281,403,82,30x30,0.4989,67,0.6662,3494,0,0,30x30,0.4989,64,0.6662Dijkstra's Algorithm,5182,332,66,30x30,0.4989,64,0.6662,3997,0,0,30x30,0.4989,70,1.9956A* Algorithm,2136,137,62,30x30,0.4989,70,1.9956,3498,0,0,30x30,0.4989,69,1.9956DFS Algorithm,6152,395,86,30x30,0.4989,69,1.9956A* Algorithm,5907,378,86,30x30,0.4989,69,1.9956BFS Algorithm,7030,451,86,30x30,0.4989,69,1.9956,3498,0,0,30x30,0.4989,68,1.9956,3500,0,0,30x30,0.4989,74,1.9956,3997,0,0,30x30,0.4989,70,1.9956,4002,0,0,30x30,0.4989,27,1.9956,3502,0,0,30x30,0.4989,67,1.9956DFS Algorithm,7252,465,464,30x30,0.0000,0,3.8667BFS Algorithm,14038,900,58,30x30,0.0000,0,3.8667Dijkstra's Algorithm,14063,900,58,30x30,0.0000,0,3.8667A* Algorithm,8111,519,58,30x30,0.0000,0,3.8667,3523,0,0,30x30,0.4989,63,0.6662,3499,0,0,30x30,0.4989,71,1.9956DFS Algorithm,4431,285,70,30x30,0.4989,71,1.9956,3997,0,0,30x30,0.4989,70,1.9956,3995,0,0,30x30,0.4989,25,0.6662Prims Algorithm (Medium Maze),4031,0,0,30x30,0.4989,70,0.6662Kruskal's Algorithm (Hard Maze),3521,0,0,30x30,0.4989,67,0.6662Kruskal's Algorithm (Hard Maze),3493,0,0,30x30,0.4989,74,0.6662Prims Algorithm (Medium Maze),4021,0,0,30x30,0.4989,70,0.6662Dijkstra's Algorithm,5478,350,62,30x30,0.4989,70,0.6662Kruskal's Algorithm (Hard Maze),3505,0,0,30x30,0.4989,70,0.6662DFS Algorithm,2779,179,90,30x30,0.4989,70,0.6662Kruskal's Algorithm (Hard Maze),3505,0,0,30x30,0.4989,74,1.9956Prims Algorithm (Medium Maze),3999,0,0,30x30,0.4989,70,0.6662Dijkstra's Algorithm,491,31,13,30x30,0.4989,70,0.6662Prims Algorithm (Medium Maze),4013,0,0,30x30,0.4989,82,1.9956Dijkstra's Algorithm,1300,83,58,30x30,0.5222,84,1.9163Prims Algorithm (Medium Maze),3996,0,0,30x30,0.4989,70,1.9956Dijkstra's Algorithm,5467,350,62,30x30,0.4989,70,1.9956Kruskal's Algorithm (Hard Maze),3498,0,0,30x30,0.4989,72,1.9956BFS Algorithm,6430,412,74,30x30,0.4989,72,1.9956Kruskal's Algorithm (Hard Maze),3496,0,0,30x30,0.4989,71,0.6662Dijkstra's Algorithm,6097,391,82,30x30,0.4989,71,0.6662Kruskal's Algorithm (Hard Maze),3505,0,0,30x30,0.4989,73,0.6662DFS Algorithm,4969,319,102,30x30,0.4989,73,0.6662Prims Algorithm (Medium Maze),3998,0,0,30x30,0.4989,70,0.6662Dijkstra's Algorithm,5474,350,62,30x30,0.4989,70,0.6662Kruskal's Algorithm (Hard Maze),3508,0,0,30x30,0.4989,68,1.9956A* Algorithm,4542,291,102,30x30,0.4989,68,1.9956Recursive Backtracker (Easy Maze),3994,0,0,30x30,0.4989,27,1.9956DFS Algorithm,6757,433,118,30x30,0.4989,27,1.9956Prims Algorithm (Medium Maze),4005,0,0,30x30,0.4989,71,1.9956Kruskal's Algorithm (Hard Maze),3505,0,0,30x30,0.4989,72,1.9956DFS Algorithm,4934,317,97,30x30,0.4989,72,1.9956Kruskal's Algorithm (Hard Maze),3500,0,0,30x30,0.4989,63,1.9956,3991,0,0,30x30,0.5011,66,0.6642Dijkstra's Algorithm,7035,450,0,30x30,0.5011,66,0.6642,3992,0,0,30x30,0.4989,67,1.9956Kruskal's Algorithm (Hard Maze),3505,0,0,30x30,0.4989,68,1.9956Dijkstra's Algorithm,6790,435,74,30x30,0.4989,68,1.9956,4007,0,0,30x30,0.5011,66,0.6642Dijkstra's Algorithm,7026,450,0,30x30,0.5011,66,0.6642,4007,0,0,30x30,0.5011,66,0.6642Dijkstra's Algorithm,7026,450,0,30x30,0.5011,66,0.6642,4008,0,0,30x30,0.4989,67,1.9956DFS Algorithm,5284,339,120,30x30,0.4989,67,1.9956,3997,0,0,30x30,0.4989,67,1.9956Dijkstra's Algorithm,6974,447,122,30x30,0.4989,67,1.9956,3997,0,0,30x30,0.4989,68,1.9956A* Algorithm,5805,371,90,30x30,0.4989,68,1.9956,4027,0,0,30x30,0.4989,67,1.9956DFS Algorithm,5319,341,122,30x30,0.4989,67,1.9956,3993,0,0,30x30,0.5011,66,0.6642DFS Algorithm,7022,450,0,30x30,0.5011,66,0.6642,3996,0,0,30x30,0.4989,68,1.9956BFS Algorithm,6713,431,90,30x30,0.4989,68,1.9956,4004,0,0,30x30,0.4989,67,1.9956Dijkstra's Algorithm,6978,447,122,30x30,0.4989,67,1.9956,4007,0,0,30x30,0.5011,66,0.6642DFS Algorithm,4556,293,30,30x30,0.4989,67,0.6662Kruskal's Algorithm (Hard Maze),3491,0,0,30x30,0.4989,65,1.9956Dijkstra's Algorithm,5031,322,106,30x30,0.4989,65,1.9956,3995,0,0,30x30,0.4989,67,1.9956Dijkstra's Algorithm,6981,447,122,30x30,0.4989,67,1.9956,4011,0,0,30x30,0.5011,66,0.6642Dijkstra's Algorithm,7023,450,0,30x30,0.5011,66,0.6642A* Algorithm,7020,450,0,30x30,0.5011,66,0.6642,4003,0,0,30x30,0.4989,68,1.9956DFS Algorithm,3272,211,90,30x30,0.4989,68,1.9956,4005,0,0,30x30,0.4433,39,2.1956Kruskal's Algorithm (Hard Maze),3508,0,0,30x30,0.4444,41,2.1920,4002,0,0,30x30,0.5011,66,0.6642A* Algorithm,7025,450,0,30x30,0.5011,66,0.6642,3995,0,0,30x30,0.4989,68,1.9956A* Algorithm,5789,371,89,30x30,0.4989,68,1.9956,4007,0,0,30x30,0.4989,66,1.9956A* Algorithm,4938,317,82,30x30,0.4989,66,1.9956,4002,0,0,30x30,0.4989,67,1.9956DFS Algorithm,5313,341,122,30x30,0.4989,67,1.9956,4005,0,0,30x30,0.5011,66,0.6642Dijkstra's Algorithm,7032,450,0,30x30,0.5011,66,0.6642,4004,0,0,30x30,0.4989,68,1.9956Dijkstra's Algorithm,6738,431,90,30x30,0.4989,68,1.9956,4013,0,0,30x30,0.5011,66,0.6642A* Algorithm,7026,450,0,30x30,0.5011,66,0.6642DFS Algorithm,7025,450,0,30x30,0.5011,66,0.6642,4000,0,0,30x30,0.4989,68,1.9956Dijkstra's Algorithm,6732,431,90,30x30,0.4989,68,1.9956Kruskal's Algorithm (Hard Maze),3503,0,0,30x30,0.4989,65,1.9956DFS Algorithm,4188,269,106,30x30,0.4989,65,1.9956,3995,0,0,30x30,0.4989,67,1.9956DFS Algorithm,5299,341,122,30x30,0.4989,67,1.9956,3993,0,0,30x30,0.4989,68,1.9956A* Algorithm,5785,371,90,30x30,0.4989,68,1.9956Kruskal's Algorithm (Hard Maze),3490,0,0,30x30,0.4989,77,1.9956DFS Algorithm,2497,161,62,30x30,0.4989,77,1.9956,4010,0,0,30x30,0.5011,66,0.6642Dijkstra's Algorithm,7035,450,0,30x30,0.5011,66,0.6642,3995,0,0,30x30,0.4989,68,1.9956Dijkstra's Algorithm,6734,431,90,30x30,0.4989,68,1.9956Kruskal's Algorithm (Hard Maze),3511,0,0,30x30,0.4989,68,1.9956Dijkstra's Algorithm,6891,441,70,30x30,0.4989,68,1.9956,3991,0,0,30x30,0.5011,66,0.6642Dijkstra's Algorithm,7020,450,0,30x30,0.5011,66,0.6642,3993,0,0,30x30,0.4989,68,1.9956DFS Algorithm,3276,211,90,30x30,0.4989,68,1.9956,3991,0,0,30x30,0.5011,66,0.6642Dijkstra's Algorithm,7028,450,0,30x30,0.5011,66,0.6642,3996,0,0,30x30,0.4989,68,1.9956DFS Algorithm,3284,211,90,30x30,0.4989,68,1.9956Kruskal's Algorithm (Hard Maze),3501,0,0,30x30,0.4989,67,0.6662,3993,0,0,30x30,0.4989,67,1.9956DFS Algorithm,5306,341,122,30x30,0.4989,67,1.9956,3993,0,0,30x30,0.4989,67,1.9956Dijkstra's Algorithm,6984,447,122,30x30,0.4989,67,1.9956,4001,0,0,30x30,0.4989,67,1.9956A* Algorithm,6604,423,122,30x30,0.4989,67,1.9956,4001,0,0,30x30,0.4989,67,1.9956DFS Algorithm,5303,341,122,30x30,0.4989,67,1.9956,3990,0,0,30x30,0.5011,66,0.6642DFS Algorithm,7065,450,0,30x30,0.0000,0,3.8667,3998,0,0,30x30,0.4989,68,1.9956Dijkstra's Algorithm,6730,431,90,30x30,0.4989,68,1.9956,3996,0,0,30x30,0.5011,66,0.6642
DFS Algorithm,7029,450,0,30x30,0.5011,66,0.6642
,4009,0,0,30x30,0.4989,68,1.9956
A* Algorithm,5792,371,90,30x30,0.4989,68,1.9956
,3999,0,0,30x30,0.5011,66,0.6642
,3995,0,0,30x30,0.5011,66,0.6642
Kruskal's Algorithm (Hard Maze),3498,0,0,30x30,0.4989,63,1.9956
,4003,0,0,30x30,0.4989,67,1.9956
A* Algorithm,6603,423,122,30x30,0.4989,67,1.9956
,3999,0,0,30x30,0.4989,67,1.9956
Wilson's Algorithm (Extreme Maze),3992,0,0,30x30,0.5011,66,0.6642
DFS Algorithm,3998,0,0,30x30,0.4989,68,1.9956
DFS Algorithm,3279,211,90,30x30,0.4989,68,1.9956
Wilson's Algorithm (Extreme Maze),4010,0,0,30x30,0.5011,66,0.6642
Wilson's Algorithm (Extreme Maze),4015,0,0,30x30,0.4989,68,1.9956
A* Algorithm,5792,371,90,30x30,0.4989,68,1.9956
Wilson's Algorithm (Extreme Maze),4003,0,0,30x30,0.4989,67,1.9956
DFS Algorithm,5318,341,122,30x30,0.4989,67,1.9956
Wilson's Algorithm (Extreme Maze),3997,0,0,30x30,0.4989,68,1.9956
Dijkstra's Algorithm,6727,431,90,30x30,0.4989,68,1.9956
Wilson's Algorithm (Extreme Maze),4005,0,0,30x30,0.4989,67,1.9956
DFS Algorithm,5305,341,122,30x30,0.4989,67,1.9956
Wilson's Algorithm (Extreme Maze),4032,0,0,30x30,0.4989,67,1.9956
DFS Algorithm,5314,341,122,30x30,0.4989,67,1.9956
Wilson's Algorithm (Extreme Maze),3999,0,0,30x30,0.5011,66,0.6642
DFS Algorithm,7018,450,0,30x30,0.5011,66,0.6642
Dijkstra's Algorithm,4005,0,0,30x30,0.4989,68,1.9956
Dijkstra's Algorithm,6735,431,90,30x30,0.4989,68,1.9956
Wilson's Algorithm (Extreme Maze),3991,0,0,30x30,0.4989,67,1.9956
DFS Algorithm,5313,341,122,30x30,0.4989,67,1.9956
Prims Algorithm (Medium Maze),3984,0,0,30x30,0.5011,77,1.9866
BFS Algorithm,10,1,0,30x30,0.5011,77,1.9866
BFS Algorithm,5,1,0,30x30,0.5011,77,1.9866
Prims Algorithm (Medium Maze),3999,0,0,30x30,0.4989,83,1.9956
DFS Algorithm,5220,335,58,30x30,0.4989,83,1.9956
Wilson's Algorithm (Extreme Maze),3999,0,0,30x30,0.5011,66,0.6642
Wilson's Algorithm (Extreme Maze),4007,0,0,30x30,0.4989,68,1.9956
DFS Algorithm,3271,211,90,30x30,0.4989,68,1.9956
Kruskal's Algorithm (Hard Maze),3508,0,0,30x30,0.4989,67,1.9956
A* Algorithm,2052,131,66,30x30,0.4989,67,1.9956
Wilson's Algorithm (Extreme Maze),4016,0,0,30x30,0.4989,66,1.9956
Recursive Backtracker (Easy Maze),4006,0,0,30x30,0.4989,28,1.9956
Recursive Backtracker (Easy Maze),4001,0,0,30x30,0.5000,20,1.9911
Wilson's Algorithm (Extreme Maze),4006,0,0,30x30,0.4989,67,1.9956
BFS Algorithm,6999,449,122,30x30,0.4989,67,1.9956
Wilson's Algorithm (Extreme Maze),3999,0,0,30x30,0.4989,67,1.9956
Dijkstra's Algorithm,6973,447,122,30x30,0.4989,67,1.9956
Kruskal's Algorithm (Hard Maze),3502,0,0,30x30,0.4989,71,1.9956
Dijkstra's Algorithm,4701,301,74,30x30,0.4989,71,1.9956
Kruskal's Algorithm (Hard Maze),3494,0,0,30x30,0.4989,58,0.6662
Wilson's Algorithm (Extreme Maze),4016,0,0,30x30,0.4989,67,1.9956
Dijkstra's Algorithm,6989,447,122,30x30,0.4989,67,1.9956
Recursive Backtracker (Easy Maze),3995,0,0,30x30,0.4989,25,1.9956
DFS Algorithm,5495,353,166,30x30,0.4989,25,1.9956
Wilson's Algorithm (Extreme Maze),3998,0,0,30x30,0.4989,67,1.9956
DFS Algorithm,5304,341,122,30x30,0.4989,67,1.9956
Prims Algorithm (Medium Maze),4026,0,0,30x30,0.5011,77,1.9866
Dijkstra's Algorithm,11,1,0,30x30,0.5011,77,1.9866
Kruskal's Algorithm (Hard Maze),3511,0,0,30x30,0.4989,62,1.9956
Dijkstra's Algorithm,5087,326,62,30x30,0.4989,62,1.9956
Recursive Backtracker (Easy Maze),3997,0,0,30x30,0.4989,25,1.9956
Prims Algorithm (Medium Maze),4018,0,0,30x30,0.4989,70,1.9956
Wilson's Algorithm (Extreme Maze),4016,0,0,30x30,0.4989,67,1.9956
DFS Algorithm,5305,341,122,30x30,0.4989,67,1.9956
Wilson's Algorithm (Extreme Maze),4008,0,0,30x30,0.4989,68,1.9956
Kruskal's Algorithm (Hard Maze),3498,0,0,30x30,0.4989,69,1.9956
Wilson's Algorithm (Extreme Maze),4010,0,0,30x30,0.4989,67,1.9956
Dijkstra's Algorithm,6984,447,122,30x30,0.4989,67,1.9956
DFS Algorithm,1673,108,107,30x30,0.0022,0,1.9277
Prims Algorithm (Medium Maze),3976,0,0,30x30,0.3633,51,1.0889
Prims Algorithm (Medium Maze),3989,0,0,30x30,0.4989,78,1.9956
Prims Algorithm (Medium Maze),3980,0,0,30x30,0.5011,76,1.9866
Prims Algorithm (Medium Maze),3993,0,0,30x30,0.4989,82,1.9956
Prims Algorithm (Medium Maze),3980,0,0,30x30,0.5011,82,1.9866
Prims Algorithm (Medium Maze),3998,0,0,30x30,0.4989,85,1.9956
Prims Algorithm (Medium Maze),3984,0,0,30x30,0.5011,78,1.9866
Prims Algorithm (Medium Maze),3983,0,0,30x30,0.5011,77,1.9866
Prims Algorithm (Medium Maze),3992,0,0,30x30,0.4989,80,1.9956
Wilson's Algorithm (Extreme Maze),3996,0,0,30x30,0.4989,66,1.9956
Prims Algorithm (Medium Maze),3996,0,0,30x30,0.4989,70,0.6662
DFS Algorithm,2120,137,62,30x30,0.4989,70,0.6662
Recursive Backtracker (Easy Maze),3997,0,0,30x30,0.4989,25,1.9956
Wilson's Algorithm (Extreme Maze),3999,0,0,30x30,0.4989,67,1.9956
Dijkstra's Algorithm,6987,447,122,30x30,0.4989,67,1.9956
Wilson's Algorithm (Extreme Maze),4000,0,0,30x30,0.4989,67,1.9956
BFS Algorithm,6989,449,122,30x30,0.4989,67,1.9956
Kruskal's Algorithm (Hard Maze),3508,0,0,30x30,0.4989,68,1.9956
DFS Algorithm,5500,353,102,30x30,0.4989,68,1.9956
